timestamp,machine_id,voltage_v,current_a,power_kw,temperature_c,vibration_mm_s,power_factor,status
2025-01-02 15:00:00,MOTOR_01,380.39,14.3,8.55,54.7,2.58,0.907,NORMAL
2025-01-02 16:00:00,MOTOR_01,381.48,11.42,6.82,56.62,2.55,0.903,NORMAL
2025-01-02 17:00:00,MOTOR_01,380.34,10.72,6.05,56.46,2.48,0.857,NORMAL
2025-01-02 18:00:00,MOTOR_01,379.77,12.6,7.35,55.15,2.52,0.887,NORMAL
2025-01-02 19:00:00,MOTOR_01,379.4,12.86,7.78,58.93,2.53,0.921,NORMAL
2025-01-02 20:00:00,MOTOR_01,377.04,12.88,7.02,54.71,2.51,0.834,NORMAL
2025-01-02 21:00:00,MOTOR_01,378.56,10.46,6.0,53.97,2.32,0.875,NORMAL
2025-01-02 22:00:00,MOTOR_01,379.08,12.46,7.27,57.12,2.36,0.889,NORMAL
2025-01-02 23:00:00,MOTOR_01,382.11,14.19,8.27,55.66,2.51,0.88,NORMAL
2025-01-03 00:00:00,MOTOR_01,380.69,15.58,9.31,55.4,2.61,0.906,NORMAL
2025-01-03 01:00:00,MOTOR_01,376.47,16.7,9.09,55.94,2.52,0.835,NORMAL
2025-01-03 02:00:00,MOTOR_01,380.65,16.67,9.34,61.43,2.62,0.85,NORMAL
2025-01-03 03:00:00,MOTOR_01,379.23,17.52,10.36,58.22,2.61,0.9,NORMAL
2025-01-03 04:00:00,MOTOR_01,378.65,17.7,9.62,58.88,2.77,0.829,NORMAL
2025-01-03 05:00:00,MOTOR_01,381.22,18.72,11.18,58.31,2.69,0.904,NORMAL
2025-01-03 06:00:00,MOTOR_01,382.06,18.38,10.86,61.12,2.75,0.893,NORMAL
2025-01-03 07:00:00,MOTOR_01,381.86,17.98,10.73,58.21,2.64,0.902,NORMAL
2025-01-03 08:00:00,MOTOR_01,378.32,17.28,9.8,58.08,2.79,0.866,NORMAL
2025-01-03 09:00:00,MOTOR_01,379.38,17.22,10.13,59.22,2.52,0.895,NORMAL
2025-01-03 10:00:00,MOTOR_01,380.66,17.08,9.51,57.07,2.69,0.845,NORMAL
2025-01-03 11:00:00,MOTOR_01,381.95,16.1,9.24,57.61,2.5,0.868,NORMAL
2025-01-03 12:00:00,MOTOR_01,379.04,15.46,8.94,59.47,2.53,0.881,NORMAL
2025-01-03 13:00:00,MOTOR_01,379.63,15.83,8.88,58.31,2.61,0.853,NORMAL
2025-01-03 14:00:00,MOTOR_01,377.79,13.82,8.02,56.25,2.51,0.887,NORMAL
2025-01-03 15:00:00,MOTOR_01,377.61,12.1,6.69,55.0,2.42,0.846,NORMAL
2025-01-03 16:00:00,MOTOR_01,381.63,13.46,7.9,55.19,2.49,0.888,NORMAL
2025-01-03 17:00:00,MOTOR_01,382.71,10.46,6.47,56.36,2.27,0.932,NORMAL
2025-01-03 18:00:00,MOTOR_01,379.86,10.7,5.93,52.34,2.32,0.842,NORMAL
2025-01-03 19:00:00,MOTOR_01,382.01,12.51,7.28,55.32,2.43,0.879,NORMAL
2025-01-03 20:00:00,MOTOR_01,380.72,13.02,7.14,55.59,2.47,0.831,NORMAL
2025-01-03 21:00:00,MOTOR_01,378.71,11.38,6.38,55.62,2.36,0.855,NORMAL
2025-01-03 22:00:00,MOTOR_01,380.72,13.04,7.75,57.09,2.51,0.901,NORMAL
2025-01-03 23:00:00,MOTOR_01,383.08,13.5,7.76,55.75,2.48,0.867,NORMAL
2025-01-04 00:00:00,MOTOR_01,379.93,14.42,8.56,56.97,2.54,0.902,NORMAL
2025-01-04 01:00:00,MOTOR_01,383.13,16.91,9.99,59.02,2.61,0.891,NORMAL
2025-01-04 02:00:00,MOTOR_01,374.76,17.35,9.89,55.47,2.58,0.878,NORMAL
2025-01-04 03:00:00,MOTOR_01,381.64,17.1,9.6,56.3,2.67,0.849,NORMAL
2025-01-04 04:00:00,MOTOR_01,380.17,16.94,10.05,57.65,2.74,0.901,NORMAL
2025-01-04 05:00:00,MOTOR_01,379.4,16.28,9.51,57.18,2.65,0.889,NORMAL
2025-01-04 06:00:00,MOTOR_01,380.18,19.7,10.82,58.96,2.72,0.834,NORMAL
2025-01-04 07:00:00,MOTOR_01,376.02,18.61,10.31,61.01,2.8,0.851,NORMAL
2025-01-04 08:00:00,MOTOR_01,379.56,16.75,8.78,58.4,2.61,0.797,NORMAL
2025-01-04 09:00:00,MOTOR_01,380.71,17.98,9.95,59.07,2.76,0.839,NORMAL
2025-01-04 10:00:00,MOTOR_01,382.96,16.42,9.48,56.25,2.59,0.871,NORMAL
2025-01-04 11:00:00,MOTOR_01,378.96,15.43,8.59,57.28,2.6,0.848,NORMAL
2025-01-04 12:00:00,MOTOR_01,378.38,15.52,8.7,53.48,2.53,0.855,NORMAL
2025-01-04 13:00:00,MOTOR_01,379.0,13.33,8.07,55.42,2.43,0.922,NORMAL
2025-01-04 14:00:00,MOTOR_01,381.83,13.09,7.88,55.56,2.33,0.911,NORMAL
2025-01-04 15:00:00,MOTOR_01,380.66,13.02,7.38,55.78,2.49,0.859,NORMAL
2025-01-04 16:00:00,MOTOR_01,378.94,11.8,7.0,52.1,2.42,0.904,NORMAL
2025-01-04 17:00:00,MOTOR_01,381.03,12.91,7.81,55.66,2.48,0.916,NORMAL
2025-01-04 18:00:00,MOTOR_01,380.19,14.24,8.43,54.83,2.53,0.899,NORMAL
2025-01-04 19:00:00,MOTOR_01,381.94,11.2,6.58,52.74,2.3,0.889,NORMAL
2025-01-04 20:00:00,MOTOR_01,378.6,10.4,6.23,54.4,2.4,0.913,NORMAL
2025-01-04 21:00:00,MOTOR_01,379.34,10.48,6.22,56.4,2.4,0.903,NORMAL
2025-01-04 22:00:00,MOTOR_01,379.22,13.32,7.38,55.73,2.4,0.844,NORMAL
2025-01-04 23:00:00,MOTOR_01,377.07,13.43,7.67,54.52,2.51,0.874,NORMAL
2025-01-05 00:00:00,MOTOR_01,380.59,15.25,8.68,57.48,2.63,0.863,NORMAL
2025-01-05 01:00:00,MOTOR_01,380.52,15.94,9.61,59.16,2.56,0.915,NORMAL
2025-01-05 02:00:00,MOTOR_01,380.01,14.58,8.28,57.59,2.51,0.863,NORMAL
2025-01-05 03:00:00,MOTOR_01,379.53,14.94,8.42,61.07,2.59,0.857,NORMAL
2025-01-05 04:00:00,MOTOR_01,377.17,17.95,10.68,58.29,2.58,0.911,NORMAL
2025-01-05 05:00:00,MOTOR_01,379.16,18.06,10.53,59.83,2.62,0.888,NORMAL
2025-01-05 06:00:00,MOTOR_01,379.31,17.49,10.84,61.31,2.6,0.943,NORMAL
2025-01-05 07:00:00,MOTOR_01,378.4,15.91,8.91,59.96,2.45,0.854,NORMAL
2025-01-05 08:00:00,MOTOR_01,379.68,18.16,10.33,56.61,2.79,0.864,NORMAL
2025-01-05 09:00:00,MOTOR_01,380.81,18.65,11.24,59.91,2.57,0.914,NORMAL
2025-01-05 10:00:00,MOTOR_01,383.77,16.83,9.42,60.69,2.67,0.842,NORMAL
2025-01-05 11:00:00,MOTOR_01,380.35,14.76,8.94,61.14,2.6,0.92,NORMAL
2025-01-05 12:00:00,MOTOR_01,380.52,15.05,8.37,58.1,2.53,0.844,NORMAL
2025-01-05 13:00:00,MOTOR_01,379.85,12.58,7.44,54.52,2.38,0.898,NORMAL
2025-01-05 14:00:00,MOTOR_01,376.16,14.77,7.94,55.3,2.56,0.825,NORMAL
2025-01-05 15:00:00,MOTOR_01,379.95,12.98,7.53,58.71,2.45,0.881,NORMAL
2025-01-05 16:00:00,MOTOR_01,380.12,10.28,5.68,54.32,2.39,0.839,NORMAL
2025-01-05 17:00:00,MOTOR_01,384.93,11.74,7.34,53.12,2.18,0.938,NORMAL
2025-01-05 18:00:00,MOTOR_01,379.62,12.56,7.0,54.74,2.35,0.848,NORMAL
2025-01-05 19:00:00,MOTOR_01,380.6,11.7,6.6,54.83,2.43,0.855,NORMAL
2025-01-05 20:00:00,MOTOR_01,379.93,12.07,7.12,55.47,2.41,0.896,NORMAL
2025-01-05 21:00:00,MOTOR_01,377.66,11.41,6.43,52.78,2.43,0.862,NORMAL
2025-01-05 22:00:00,MOTOR_01,382.29,14.18,8.46,55.42,2.53,0.901,NORMAL
2025-01-05 23:00:00,MOTOR_01,381.5,13.45,7.63,53.28,2.46,0.859,NORMAL
2025-01-06 00:00:00,MOTOR_01,381.58,12.41,7.03,56.49,2.4,0.856,NORMAL
2025-01-06 01:00:00,MOTOR_01,378.18,15.33,8.83,56.75,2.75,0.879,NORMAL
2025-01-06 02:00:00,MOTOR_01,382.81,17.68,9.89,59.84,2.81,0.843,NORMAL
2025-01-06 03:00:00,MOTOR_01,377.2,16.66,9.71,60.46,2.67,0.892,NORMAL
2025-01-06 04:00:00,MOTOR_01,381.17,19.68,11.78,61.08,2.79,0.906,NORMAL
2025-01-06 05:00:00,MOTOR_01,384.38,18.41,10.99,59.56,2.76,0.897,NORMAL
2025-01-06 06:00:00,MOTOR_01,378.02,18.41,10.84,60.02,2.79,0.899,NORMAL
2025-01-06 07:00:00,MOTOR_01,378.87,17.74,9.57,59.29,2.72,0.822,NORMAL
2025-01-06 08:00:00,MOTOR_01,380.2,17.52,9.99,60.88,2.62,0.866,NORMAL
2025-01-06 09:00:00,MOTOR_01,378.99,16.81,9.63,58.91,2.78,0.873,NORMAL
2025-01-06 10:00:00,MOTOR_01,376.9,16.14,9.73,57.09,2.63,0.924,NORMAL
2025-01-06 11:00:00,MOTOR_01,380.14,16.41,9.32,59.7,2.78,0.863,NORMAL
2025-01-06 12:00:00,MOTOR_01,377.88,13.88,7.37,57.95,2.51,0.811,NORMAL
2025-01-06 13:00:00,MOTOR_01,380.95,12.93,7.25,53.34,2.43,0.85,NORMAL
2025-01-06 14:00:00,MOTOR_01,378.16,12.15,6.85,57.02,2.52,0.86,NORMAL
2025-01-06 15:00:00,MOTOR_01,383.1,15.33,8.3,57.81,2.59,0.815,NORMAL
2025-01-06 16:00:00,MOTOR_01,378.43,13.04,7.77,55.86,2.46,0.909,NORMAL
2025-01-06 17:00:00,MOTOR_01,379.36,12.47,6.82,56.48,2.33,0.833,NORMAL
2025-01-06 18:00:00,MOTOR_01,381.63,10.73,6.34,52.73,2.39,0.893,NORMAL
2025-01-06 19:00:00,MOTOR_01,377.54,12.85,7.12,56.71,2.4,0.847,NORMAL
2025-01-06 20:00:00,MOTOR_01,380.45,12.26,7.48,54.24,2.38,0.925,NORMAL
2025-01-06 21:00:00,MOTOR_01,382.61,13.14,7.59,53.3,2.42,0.872,NORMAL
2025-01-06 22:00:00,MOTOR_01,376.79,12.33,6.96,53.37,2.45,0.866,NORMAL
2025-01-06 23:00:00,MOTOR_01,380.37,14.42,8.51,57.38,2.4,0.896,NORMAL
2025-01-07 00:00:00,MOTOR_01,380.52,14.49,8.12,55.17,2.51,0.85,NORMAL
2025-01-07 01:00:00,MOTOR_01,381.56,14.86,8.81,59.3,2.62,0.897,NORMAL
2025-01-07 02:00:00,MOTOR_01,377.53,17.38,9.84,60.69,2.57,0.866,NORMAL
2025-01-07 03:00:00,MOTOR_01,377.36,15.28,8.61,59.22,2.58,0.862,NORMAL
2025-01-07 04:00:00,MOTOR_01,381.04,18.28,10.58,59.81,2.66,0.877,NORMAL
2025-01-07 05:00:00,MOTOR_01,380.59,18.72,10.46,60.36,2.7,0.847,NORMAL
2025-01-07 06:00:00,MOTOR_01,380.5,16.94,9.76,56.76,2.78,0.874,NORMAL
2025-01-07 07:00:00,MOTOR_01,380.69,16.91,9.93,60.02,2.51,0.89,NORMAL
2025-01-07 08:00:00,MOTOR_01,378.64,17.33,9.21,59.43,2.73,0.811,NORMAL
2025-01-07 09:00:00,MOTOR_01,380.46,17.46,10.5,59.82,2.63,0.913,NORMAL
2025-01-07 10:00:00,MOTOR_01,380.59,16.32,9.73,60.59,2.57,0.904,NORMAL
2025-01-07 11:00:00,MOTOR_01,378.57,16.3,8.81,57.13,2.53,0.824,NORMAL
2025-01-07 12:00:00,MOTOR_01,383.73,17.12,9.32,58.5,2.72,0.82,NORMAL
2025-01-07 13:00:00,MOTOR_01,380.95,13.61,8.13,56.38,2.47,0.905,NORMAL
2025-01-07 14:00:00,MOTOR_01,377.62,11.44,6.76,52.75,2.35,0.903,NORMAL
2025-01-07 15:00:00,MOTOR_01,381.31,13.87,8.23,55.81,2.5,0.899,NORMAL
2025-01-07 16:00:00,MOTOR_01,378.05,14.42,7.91,57.28,2.51,0.837,NORMAL
2025-01-07 17:00:00,MOTOR_01,381.57,12.57,7.77,54.57,2.27,0.935,NORMAL
2025-01-07 18:00:00,MOTOR_01,382.32,10.69,6.07,55.52,2.3,0.857,NORMAL
2025-01-07 19:00:00,MOTOR_01,378.36,11.95,6.95,52.3,2.47,0.887,NORMAL
2025-01-07 20:00:00,MOTOR_01,381.93,11.06,6.49,55.53,2.23,0.888,NORMAL
2025-01-07 21:00:00,MOTOR_01,380.83,13.65,8.35,56.91,2.4,0.928,NORMAL
2025-01-07 22:00:00,MOTOR_01,381.64,11.88,6.94,53.65,2.36,0.884,NORMAL
2025-01-07 23:00:00,MOTOR_01,383.79,13.86,8.22,54.7,2.44,0.892,NORMAL
2025-01-08 00:00:00,MOTOR_01,379.51,13.79,7.96,52.92,2.49,0.878,NORMAL
2025-01-08 01:00:00,MOTOR_01,378.49,15.93,8.81,56.55,2.51,0.844,NORMAL
2025-01-08 02:00:00,MOTOR_01,378.22,16.06,8.53,59.42,2.57,0.81,NORMAL
2025-01-08 03:00:00,MOTOR_01,378.37,17.33,10.01,58.78,2.66,0.881,NORMAL
2025-01-08 04:00:00,MOTOR_01,379.85,17.62,9.71,60.84,2.73,0.838,NORMAL
2025-01-08 05:00:00,MOTOR_01,380.68,16.71,9.81,57.44,2.74,0.891,NORMAL
2025-01-08 06:00:00,MOTOR_01,380.55,18.75,10.93,61.06,2.72,0.884,NORMAL
2025-01-08 07:00:00,MOTOR_01,381.65,17.84,10.42,58.2,2.84,0.884,NORMAL
2025-01-08 08:00:00,MOTOR_01,380.03,16.41,9.17,56.68,2.61,0.848,NORMAL
2025-01-08 09:00:00,MOTOR_01,382.91,19.81,11.97,60.69,2.86,0.911,NORMAL
2025-01-08 10:00:00,MOTOR_01,379.47,17.07,10.03,57.66,2.81,0.894,NORMAL
2025-01-08 11:00:00,MOTOR_01,385.44,15.59,8.79,55.16,2.59,0.845,NORMAL
2025-01-08 12:00:00,MOTOR_01,381.25,16.7,10.39,58.09,2.53,0.942,NORMAL
2025-01-08 13:00:00,MOTOR_01,378.29,16.43,9.41,58.31,2.63,0.874,NORMAL
2025-01-08 14:00:00,MOTOR_01,377.86,13.33,7.33,57.56,2.42,0.84,NORMAL
2025-01-08 15:00:00,MOTOR_01,380.96,13.3,7.52,57.04,2.44,0.857,NORMAL
2025-01-08 16:00:00,MOTOR_01,379.55,11.22,6.16,55.8,2.52,0.835,NORMAL
2025-01-08 17:00:00,MOTOR_01,381.43,11.93,7.25,55.62,2.3,0.921,NORMAL
2025-01-08 18:00:00,MOTOR_01,380.95,11.76,7.08,54.91,2.41,0.912,NORMAL
2025-01-08 19:00:00,MOTOR_01,379.85,12.32,7.32,53.02,2.35,0.902,NORMAL
2025-01-08 20:00:00,MOTOR_01,378.31,12.8,7.52,55.47,2.42,0.897,NORMAL
2025-01-08 21:00:00,MOTOR_01,376.97,13.55,8.12,56.74,2.54,0.917,NORMAL
2025-01-08 22:00:00,MOTOR_01,379.11,13.79,7.9,58.21,2.51,0.873,NORMAL
2025-01-08 23:00:00,MOTOR_01,381.71,12.77,7.54,56.25,2.42,0.893,NORMAL
2025-01-09 00:00:00,MOTOR_01,380.43,13.87,7.82,57.96,2.44,0.856,NORMAL
2025-01-09 01:00:00,MOTOR_01,377.51,15.12,8.65,55.55,2.58,0.875,NORMAL
2025-01-09 02:00:00,MOTOR_01,380.35,16.16,9.51,57.44,2.74,0.894,NORMAL
2025-01-09 03:00:00,MOTOR_01,380.77,18.38,9.55,60.35,2.65,0.788,NORMAL
2025-01-09 04:00:00,MOTOR_01,378.23,16.2,9.14,59.7,2.76,0.861,NORMAL
2025-01-09 05:00:00,MOTOR_01,380.31,17.47,10.18,58.76,2.77,0.885,NORMAL
2025-01-09 06:00:00,MOTOR_01,380.12,19.14,11.06,60.19,2.87,0.878,NORMAL
2025-01-09 07:00:00,MOTOR_01,377.71,17.54,9.94,60.06,2.7,0.866,NORMAL
2025-01-09 08:00:00,MOTOR_01,380.72,18.15,10.74,57.83,2.8,0.898,NORMAL
2025-01-09 09:00:00,MOTOR_01,381.12,16.95,9.61,60.97,2.57,0.859,NORMAL
2025-01-09 10:00:00,MOTOR_01,382.17,16.81,9.38,57.13,2.59,0.843,NORMAL
2025-01-09 11:00:00,MOTOR_01,382.11,15.5,9.39,54.52,2.64,0.916,NORMAL
2025-01-09 12:00:00,MOTOR_01,377.24,15.8,9.41,57.66,2.61,0.911,NORMAL
2025-01-09 13:00:00,MOTOR_01,378.12,12.37,6.98,57.44,2.41,0.862,NORMAL
2025-01-09 14:00:00,MOTOR_01,381.03,13.06,7.57,56.33,2.25,0.878,NORMAL
2025-01-09 15:00:00,MOTOR_01,381.03,13.23,7.91,56.71,2.43,0.905,NORMAL
2025-01-09 16:00:00,MOTOR_01,381.03,13.04,7.59,55.5,2.36,0.881,NORMAL
2025-01-09 17:00:00,MOTOR_01,387.71,13.89,8.36,55.89,2.53,0.896,NORMAL
2025-01-09 18:00:00,MOTOR_01,381.14,11.53,6.81,51.91,2.36,0.894,NORMAL
2025-01-09 19:00:00,MOTOR_01,382.27,13.88,8.0,52.71,2.44,0.87,NORMAL
2025-01-09 20:00:00,MOTOR_01,381.91,11.61,6.88,54.58,2.59,0.895,NORMAL
2025-01-09 21:00:00,MOTOR_01,381.3,14.47,8.13,58.55,2.61,0.851,NORMAL
2025-01-09 22:00:00,MOTOR_01,379.37,14.48,8.49,57.1,2.61,0.892,NORMAL
2025-01-09 23:00:00,MOTOR_01,381.52,13.13,7.61,56.44,2.63,0.878,NORMAL
2025-01-10 00:00:00,MOTOR_01,378.45,15.37,8.76,59.67,2.63,0.869,NORMAL
2025-01-10 01:00:00,MOTOR_01,379.53,15.71,8.7,58.07,2.52,0.843,NORMAL
2025-01-10 02:00:00,MOTOR_01,379.03,17.25,10.01,58.62,2.59,0.884,NORMAL
2025-01-10 03:00:00,MOTOR_01,380.16,16.85,9.78,57.25,2.72,0.881,NORMAL
2025-01-10 04:00:00,MOTOR_01,384.63,17.23,9.81,61.82,2.5,0.855,NORMAL
2025-01-10 05:00:00,MOTOR_01,376.27,19.54,10.6,61.42,2.77,0.832,NORMAL
2025-01-10 06:00:00,MOTOR_01,381.37,17.88,9.81,57.89,2.52,0.831,NORMAL
2025-01-10 07:00:00,MOTOR_01,376.77,18.89,10.75,58.35,2.75,0.872,NORMAL
2025-01-10 08:00:00,MOTOR_01,379.06,17.33,10.12,60.74,2.73,0.889,NORMAL
2025-01-10 09:00:00,MOTOR_01,382.18,19.12,11.84,58.74,2.78,0.935,NORMAL
2025-01-10 10:00:00,MOTOR_01,380.13,15.69,9.07,60.33,2.66,0.879,NORMAL
2025-01-10 11:00:00,MOTOR_01,377.84,15.04,8.18,52.9,2.71,0.831,NORMAL
2025-01-10 12:00:00,MOTOR_01,378.57,16.83,9.64,60.6,2.63,0.874,NORMAL
2025-01-10 13:00:00,MOTOR_01,381.36,13.69,8.3,56.68,2.71,0.918,NORMAL
2025-01-10 14:00:00,MOTOR_01,378.54,15.42,8.69,57.51,2.59,0.86,NORMAL
2025-01-10 15:00:00,MOTOR_01,380.43,13.95,8.4,55.9,2.57,0.914,NORMAL
2025-01-10 16:00:00,MOTOR_01,380.09,12.22,7.12,57.61,2.36,0.885,NORMAL
2025-01-10 17:00:00,MOTOR_01,378.7,9.93,5.86,54.0,2.43,0.899,NORMAL
2025-01-10 18:00:00,MOTOR_01,384.29,11.98,7.46,53.23,2.48,0.936,NORMAL
2025-01-10 19:00:00,MOTOR_01,381.27,12.22,6.66,52.2,2.53,0.825,NORMAL
2025-01-10 20:00:00,MOTOR_01,375.95,13.8,8.15,56.31,2.49,0.907,NORMAL
2025-01-10 21:00:00,MOTOR_01,380.37,14.78,8.54,56.83,2.44,0.877,NORMAL
2025-01-10 22:00:00,MOTOR_01,378.68,12.68,7.08,52.86,2.47,0.852,NORMAL
2025-01-10 23:00:00,MOTOR_01,381.7,15.18,8.8,57.06,2.42,0.877,NORMAL
2025-01-11 00:00:00,MOTOR_01,378.41,15.92,9.71,56.87,2.57,0.931,NORMAL
2025-01-11 01:00:00,MOTOR_01,379.77,17.06,10.33,58.67,2.67,0.92,NORMAL
2025-01-11 02:00:00,MOTOR_01,381.01,17.1,9.25,59.77,2.85,0.82,NORMAL
2025-01-11 03:00:00,MOTOR_01,381.73,14.79,8.38,59.07,2.57,0.857,NORMAL
2025-01-11 04:00:00,MOTOR_01,377.6,17.41,10.34,60.29,2.68,0.908,NORMAL
2025-01-11 05:00:00,MOTOR_01,379.33,16.51,9.54,57.13,2.62,0.879,NORMAL
2025-01-11 06:00:00,MOTOR_01,379.05,17.76,10.25,59.76,2.58,0.879,NORMAL
2025-01-11 07:00:00,MOTOR_01,378.69,19.07,10.42,60.35,2.76,0.833,NORMAL
2025-01-11 08:00:00,MOTOR_01,383.53,17.96,10.23,57.37,2.71,0.858,NORMAL
2025-01-11 09:00:00,MOTOR_01,380.81,18.5,10.24,60.4,2.65,0.839,NORMAL
2025-01-11 10:00:00,MOTOR_01,377.48,16.91,9.18,61.31,2.55,0.83,NORMAL
2025-01-11 11:00:00,MOTOR_01,381.84,14.22,7.92,56.42,2.47,0.842,NORMAL
2025-01-11 12:00:00,MOTOR_01,384.24,11.97,6.79,52.19,2.4,0.852,NORMAL
2025-01-11 13:00:00,MOTOR_01,382.06,14.4,8.17,56.57,2.48,0.857,NORMAL
2025-01-11 14:00:00,MOTOR_01,376.96,13.24,7.39,53.77,2.38,0.855,NORMAL
2025-01-11 15:00:00,MOTOR_01,379.03,11.71,7.0,55.66,2.41,0.911,NORMAL
2025-01-11 16:00:00,MOTOR_01,382.53,10.36,5.85,54.08,2.36,0.853,NORMAL
2025-01-11 17:00:00,MOTOR_01,378.58,11.22,6.79,53.72,2.37,0.923,NORMAL
2025-01-11 18:00:00,MOTOR_01,380.89,11.77,6.72,53.92,2.34,0.865,NORMAL
2025-01-11 19:00:00,MOTOR_01,381.55,12.9,7.62,55.0,2.49,0.893,NORMAL
2025-01-11 20:00:00,MOTOR_01,378.15,12.63,7.4,55.12,2.42,0.894,NORMAL
2025-01-11 21:00:00,MOTOR_01,379.88,14.81,8.31,55.69,2.45,0.853,NORMAL
2025-01-11 22:00:00,MOTOR_01,373.52,12.26,6.9,52.72,2.5,0.87,NORMAL
2025-01-11 23:00:00,MOTOR_01,377.95,15.28,8.65,58.93,2.59,0.865,NORMAL
2025-01-12 00:00:00,MOTOR_01,379.49,15.06,8.82,56.47,2.54,0.891,NORMAL
2025-01-12 01:00:00,MOTOR_01,377.5,16.61,9.52,58.54,2.5,0.876,NORMAL
2025-01-12 02:00:00,MOTOR_01,383.26,15.98,9.09,58.21,2.54,0.858,NORMAL
2025-01-12 03:00:00,MOTOR_01,377.14,18.41,10.62,60.21,2.88,0.884,NORMAL
2025-01-12 04:00:00,MOTOR_01,379.12,17.95,10.49,57.6,2.58,0.89,NORMAL
2025-01-12 05:00:00,MOTOR_01,380.26,17.08,10.53,56.15,2.63,0.936,NORMAL
2025-01-12 06:00:00,MOTOR_01,382.88,17.99,10.52,58.51,2.7,0.882,NORMAL
2025-01-12 07:00:00,MOTOR_01,377.13,17.61,10.13,59.68,2.71,0.88,NORMAL
